
Parameter Settings

density_range = [0.1, 0.9]
initial_size = 16
log_path = group1-classes.txt
margins = [0.2, 0.8, 1.25, 5.0]
num_steps = 200
num_trials = 1000
rule_file_name = group1-rules.txt
screen_mag = 2

rule	die	shrink	stable	expand	explode
B3/S23	0.269	0.44	0.146	0.142	0.003
B3/S236	0.028	0.02	0.001	0.532	0.419
B3/S2367	0.026	0.014	0.0	0.449	0.511
B3/S23678	0.017	0.016	0.0	0.476	0.491
B3/S2368	0.022	0.029	0.003	0.51	0.436
B3/S237	0.128	0.313	0.227	0.325	0.007
B3/S2378	0.115	0.325	0.18	0.372	0.008
B3/S238	0.265	0.39	0.145	0.199	0.001
B37/S23	0.201	0.389	0.178	0.224	0.008
B37/S236	0.02	0.023	0.003	0.468	0.486
B37/S237	0.091	0.257	0.176	0.447	0.029
B37/S238	0.167	0.368	0.198	0.264	0.003
B35/S236	0.011	0.021	0.0	0.0	0.968

Done.
