
Parameter Settings

density_range = [0.1, 0.9]
initial_size = 16
log_path = group3-classes.txt
margins = [0.2, 0.8, 1.25, 5.0]
num_steps = 200
num_trials = 1000
rule_file_name = group3-rules.txt
screen_mag = 2

rule	die	shrink	stable	expand	explode
B35/S0256	0.92	0.08	0.0	0.0	0.0
B3/S012678	0.0	0.0	0.003	0.002	0.995
B37/S023456	0.0	0.007	0.0	0.0	0.993
B3/S025	0.909	0.091	0.0	0.0	0.0
B357/S8	1.0	0.0	0.0	0.0	0.0
B35/S13456	0.001	0.006	0.0	0.001	0.992
B37/S34567	0.058	0.005	0.005	0.0	0.932
B3/S457	1.0	0.0	0.0	0.0	0.0
B357/S1247	0.0	0.009	0.0	0.0	0.991
B3/S2345678	0.008	0.002	0.002	0.001	0.987
B35/S134567	0.002	0.012	0.0	0.0	0.986
B3/S013468	0.0	0.006	0.006	0.003	0.985
B357/S023567	0.0	0.006	0.0	0.0	0.994

Done.
